name,code,country,lat,lon,elev,style,rwdir,rwlen,rwwidth,freq,desc
"Abbots","6ME6",US,4421.200N,07023.700W,730ft,2,160,1700ft,70ft,,"6ME6, Private, RW width: 70"
"Adirondack","SLK",US,4423.117N,07412.367W,1663ft,5,49,6573ft,150ft,123.0,"SLK, RW width: 150, UNICOM: 123.0, Fuel: 100LL"
"Adirondack Estates","NY17",US,4436.550N,07351.483W,1352ft,5,90,2050ft,20ft,122.8,"NY17, Private, RW width: 20, UNICOM: 122.8"
"Airhaven","09N",US,4149.956N,07352.558W,450ft,2,16,1863ft,75ft,122.9,"09N, 02/20 18T, RW width: 75, CTAF: 122.9"
"Albany","ALB",US,4244.950N,07348.117W,285ft,5,371,8500ft,150ft,122.95,"ALB, RW width: 150, Tower: 119.5, UNICOM: 122.95, Fuel: 100LL"
"Albert Farms","MA88",US,4223.330N,07255.800W,1420ft,5,180,2100ft,50ft,,"MA88, Private, N/S 28A, RW width: 50"
"Alexander Farm","NY82",US,4234.838N,07336.974W,525ft,2,180,3380ft,100ft,,"NY82, Private, 18/36 34G, RW width: 100"
"Allen's Pond","ALLNSPND",US,4130.667N,07101.683W,59ft,0,,,,,"5MA9, 13/31 12T"
"Allenholm","VT26",US,4438.067N,07318.400W,141ft,2,180,2000ft,40ft,,"VT26, Private, RW width: 40"
"Alta Vista","ALTAVIST",US,4221.510N,07155.580W,1070ft,3,,1800ft,,,"Landable"
"Amsterdam","NY87",US,4257.750N,07415.217W,340ft,2,90,1450ft,160ft,,"NY87, Private, RW width: 160"
"Angus Airways","ANGUSRWS",US,4413.750N,07247.340W,670ft,3,,,,,"Landable"
"Antrim","ANTRIM",US,4300.900N,07155.880W,600ft,3,,1400ft,,,"Landable"
"Apex","65NK",US,4243.767N,07409.833W,1130ft,2,90,2750ft,60ft,,"65NK, Private, RW width: 60"
"Archdale Meadows","NY63",US,4303.200N,07328.700W,584ft,2,90,1500ft,90ft,,"NY63, Private, RW width: 90"
"Ardell Flying","VT59",US,4316.670N,07254.590W,1900ft,2,180,1900ft,175ft,,"VT59, Private, RW width: 175"
"Argyle","1C3",US,4315.267N,07328.217W,330ft,2,30,2400ft,87ft,122.9,"1C3, RW width: 87, CTAF: 122.9"
"Ass-Pirin Acres","VT11",US,4404.117N,07322.400W,131ft,2,100,2600ft,200ft,122.8,"VT11, Private, RW width: 200, UNICOM: 122.8"
"Auburn/Lewiston","LEW",US,4402.917N,07017.017W,288ft,5,41,5001ft,100ft,122.8,"LEW, RW width: 100, UNICOM: 122.8, Fuel: 100LL"
"August","NK17",US,4312.567N,07334.900W,131ft,2,30,2100ft,100ft,,"NK17, Private, RW width: 100"
